high arousal,low arousal,medium arousal,medium dominance,low dominance,high dominance,high valence,low valence,medium valence,examples,hedges,self references
abduct,abstinence,abandon,abstinence,ammonia,accessible,ability,abandon,aardvark,for example,highly probable,I
abduction,ammonia,abandonment,boredom,bloated,accommodate,able,abandonment,abalone,for instance,moderate risk,me
abomination,bloated,abnormal,boring,bottom,acknowledgement,absolution,abduct,abbey,e.g.,odds on,we
abort,boredom,abnormality,bugger,catatonic,amiable,abundance,abduction,abdomen,,moderate probability,us
abortion,boring,abscess,bureaucrat,clog,applesauce,abundant,abnormal,abdominal,,reasonable to assume,mine
abrupt,bottom,absinthe,celibate,colic,appreciate,academic,abnormality,abide,,not infrequently,myself
abuse,bugger,abysmal,cheapskate,coma,bath,accent,abomination,abiding,,improbable,our
abusive,bureaucrat,accident,childless,comatose,bathe,accept,abort,abject,,almost never,
accursed,catatonic,accidental,cholesterol,delay,bed,acceptable,abortion,ablaze,,more often than not,
accusation,celibate,ache,decaf,depress,biscuit,acceptance,abrupt,abode,,significant chance,
accuse,cheapskate,achy,decompression,depressing,blanket,access,abscess,abolish,,mostly consistent,
addict,childless,acid,dismal,desolate,book,accessible,absinthe,abominable,,invariably,
adulterer,cholesterol,acne,dismissive,devoid,breathe,accommodate,abstinence,abracadabra,,reasonable chance,
adultery,clog,addicted,doormat,disdain,buttercup,accommodation,abuse,abrasive,,unable to rule out,
affair,colic,addiction,drab,dismay,calm,accomplish,abusive,abreast,,can't rule out,
afraid,coma,addictive,drool,downer,camera,accomplishment,abysmal,absence,,not unreasonable,
aggravate,comatose,adverse,dull,emptiness,can,accord,accident,absent,,there is a chance,
aggravation,decaf,affliction,flaccid,empty,candlelight,accurate,accidental,absolute,,small chance,
aggression,decompression,aging,flea,fatigue,care,ace,accursed,absolve,,small chances,
aggressive,delay,agitation,flunky,frail,civilized,achieve,accusation,absorb,,almost always,
aggressiveness,depress,aids,gray,fruitless,coin,achievement,accuse,abstain,,moderate risk,
aggressor,depressing,AIDS,hesitant,geezer,comfort,acknowledge,ache,abstract,,highly suggestive,
agitate,desolate,ailing,inconsequential,geriatric,comfortable,acknowledgement,achy,absurd,,high probability,
agonizing,devoid,ailment,inconsistent,gimp,comforting,acoustic,acid,absurdity,,almost certain,
agony,disdain,alcoholism,isolation,gnat,comfy,active,acne,abyss,,highly suspicious,
alarm clock,dismal,alienate,lack,indigestion,commend,admirable,addict,academy,,doubtful,
alarming,dismay,alleged,lazy,innards,complete,admiration,addicted,accelerant,,commonly,
alcoholic,dismissive,allergy,legislature,lame,consistent,admire,addiction,accelerate,,very rare,
alienation,doormat,alleyway,limp,lard,contribution,admired,addictive,accelerated,,very likely,
allegation,downer,alzheimers,monotonous,meaningless,conversation,admirer,adulterer,acceleration,,not certain,
allergic,drab,amnesia,mope,mindless,daydream,adopt,adultery,accelerator,,low risk,
altercation,drool,amputation,morn,mournful,donate,adoption,adverse,accessory,,low probability,
ambulance,dull,anarchist,muted,mousy,dove,adorable,affair,acclaim,,presumptive,
ambush,emptiness,anarchy,nameless,mundane,earthy,adoration,affliction,accompany,,on occasion,
amputate,empty,anemia,patronize,nothingness,easygoing,adore,afraid,accomplice,,indicative,
aneurysm,fatigue,anemic,policy,oaf,enlighten,adoring,aggravate,accordion,,most consistent,
anger,flaccid,angina,recluse,obsolete,familiarity,adrenaline,aggravation,account,,rarely,
angry,flea,anguished,refusal,orphan,fixer,advancement,aggression,accountability,,no evidence for,
angst,flunky,annoy,repressed,orphanage,fond,advantage,aggressive,accountable,,compatible,
anguish,frail,annoyance,reschedule,reroute,fresh,advantageous,aggressiveness,accountant,,definitive,
animosity,fruitless,anorexic,saggy,sadness,gardener,adventure,aggressor,accounting,,sometimes,
annihilate,geezer,antagonize,shutdown,sag,gardening,adventurer,aging,accumulate,,always,
annihilation,geriatric,anthrax,sinus,scab,gentle,adventurous,agitate,accuracy,,supportive,
annoyed,gimp,anus,sissy,sham,gracious,affection,agitation,acetylene,,frequently,
annoying,gnat,anxiety,splint,sulk,haven,affectionate,agonizing,acorn,,perhaps,
antichrist,gray,apathy,stale,urn,helper,afford,agony,acoustics,,expected,
antisocial,hesitant,apocalypse,subdue,widower,hobby,affordable,aids,acquaintance,,suspicious,
appalling,inconsequential,appalled,subdued,wither,humane,african,AIDS,acquire,,normally,
appendectomy,inconsistent,apprehensive,suppression,chapel,humanitarian,afternoon,ailing,acquisition,,rare,
appendicitis,indigestion,arrogance,telethon,adrift,humble,agility,ailment,acquit,,unlikely,
argue,innards,arsenic,timid,albino,ice tea,agree,alarm clock,acquittal,,often,
argument,isolation,arthritis,user,bagman,imaginable,agreeable,alarming,acre,,probable,
argumentative,lack,asbestos,wart,barometer,kind,agreement,alcoholic,acreage,,usually,
arrest,lame,ashtray,weary,beeper,kindergarten,air,alcoholism,acrobat,,common,
arrogant,lard,asthma,whaling,birthmark,kitten,alive,alienate,acrylic,,suggestive,
arson,lazy,asthmatic,wilt,bleak,meadow,allow,alienation,act,,occasionally,
arsonist,legislature,atrocious,wimp,blurry,meditate,allowance,allegation,action,,never,
ashamed,limp,atrocity,wino,brig,meditation,allure,alleged,action figure,,diagnostic,
asphyxia,meaningless,atrophy,accept,broad,mellow,alluring,allergic,activate,,certain,
asphyxiation,mindless,attorney,accord,brood,milk,aloha,allergy,activation,,most likely,
assailant,monotonous,auditor,acknowledge,catholic,modest,amaze,alleyway,activist,,frequent,
assassin,mope,autism,air,chromosome,option,amazed,altercation,activity,,no evidence of,
assassinate,morn,autistic,allow,clammy,organizer,amazement,alzheimers,actor,,possible,
assassination,mournful,autopsy,antidote,compliance,painting,amazing,ambulance,actress,,likely,
assault,mousy,avoidance,apple juice,conundrum,patience,ambience,ambush,actual,,slight chance,
asshole,mundane,awful,asleep,cross,peacetime,ambition,ammonia,actuality,,chance,
asylum,muted,awkward,aunt,cubicle,pillow,amends,amnesia,acupuncture,,thought possibly to be,
attack,nameless,backfire,autumn,damp,pleasant,amiable,amputate,acute,,probably not,
attacker,nothingness,backhand,banana,dank,polite,amour,amputation,ad,,seems likely,
audit,oaf,bacteria,bay,decrease,politeness,amuse,anarchist,adage,,not clear,
axe,obsolete,bacterial,begin,defer,pray,amused,anarchy,adamant,,results support,
ban,orphan,bad,beginning,disposable,produce,amusement,anemia,adapt,,does not appear,
bankrupt,orphanage,badness,belong,distant,realize,amusing,anemic,adaptation,,less likely,
bankruptcy,patronize,bald,birch,dopey,relax,ancestor,aneurysm,add,,more likely,
barbarian,policy,balding,blackberry,drowsy,relaxation,ancestral,anger,adder,,suggesting,
barbaric,recluse,bandage,blooming,elder,relaxed,ancient,angina,additional,,probably,
bash,refusal,banshee,blueberry,fare,remember,angel,angry,address,,suggest,
battle,repressed,barbed,bookworm,fishy,rose,angelic,angst,adept,,suggests,
bee,reroute,barf,breath,fjord,safe,animal,anguish,adequate,,presume,
bereaved,reschedule,bastard,breeze,flat,safekeeping,animated,anguished,adhere,,suspect,
betray,sadness,battered,broaden,fragile,sanctuary,animation,animosity,adhesive,,indicate,
betrayal,sag,battering,butterfly,gallbladder,satisfaction,anniversary,annihilate,Adidas,,seem,
beware,saggy,battlements,calligraphy,gavel,savings,antidote,annihilation,adjacent,,appear,
bicker,scab,bawl,cappuccino,gospel,season,antique,annoy,adjective,,favor,
bigmouth,sham,beater,cereal,groggy,simple,antiques,annoyance,adjoining,,unsure,
bigot,shutdown,bedpan,charity,hairline,simplify,aphrodisiac,annoyed,adjourn,,apparently,
bigotry,sinus,beg,citizen,hall,smooth,apologetic,annoying,adjust,,obviously,
billing,sissy,beggar,clothes,hazy,soften,appetizer,anorexic,adjuster,,clearly,
binge,splint,belittle,clouds,hole,spirituality,appetizing,antagonize,adjustment,,could be,
bitch,stale,belligerent,color,houseboy,steady,applaud,anthrax,admin,,consistent with,
biter,subdue,bereavement,consider,humdrum,stuffed animal,applause,antichrist,administer,,suggestive of,
black snake,subdued,berserk,consoled,impropriety,sunflower,apple,antisocial,administration,,compatible with,
blackmail,sulk,bigamy,content,incoherent,sunroof,apple juice,anus,administrative,,can be ruled out,
blackmailer,suppression,bile,coral,incomparable,sympathetic,applesauce,anxiety,administrator,,cannot exclude,
blasphemy,telethon,bill,cordial,incumbent,thoughtful,appreciate,apathy,admiral,,can't rule in or out,
bleeder,timid,bimbo,cornflakes,induce,understanding,appreciation,apocalypse,admiralty,,could be either,
blinding,urn,biopsy,cottage,lapse,undisturbed,appreciative,appalled,admissible,,unremarkable,
blood,user,bipolar,countryside,latent,unharmed,approval,appalling,admission,,evidence of,
bloodshed,wart,bitchy,creamy,loan,unite,approve,appendectomy,admit,,evidence for,
bloody,weary,bite,cucumber,lock,unselfish,aqua,appendicitis,admittance,,highly supportive,
boa,whaling,bitter,curator,low,veggie,aquamarine,apprehensive,ado,,highly unlikely,
bogus,widower,bitterness,dainty,mediocre,view,aquarium,argue,adobe,,highly likely,
bomb,wilt,blab,dawn,milligram,vision,aquatic,argument,adolescence,,inconclusive,
bombardment,wimp,blabbermouth,decorator,mosque,voice,arcade,argumentative,adolescent,,inconsistent with,
bomber,wino,blackface,delicate,mumble,willing,archangel,arrest,adoptive,,it is not,
bombing,wither,blacklist,dexterity,mute,accumulate,aroma,arrogance,adrenalin,,little evidence,
brainwash,accept,blackout,divine,needless,admissible,arouse,arrogant,adrift,,little likelihood,
brawl,accessible,blame,dolphin,numb,almond,arrival,arsenic,adult,,little support,
breaking and entering,accommodate,blasphemous,dressmaker,obedience,alphabetical,arrive,arson,adulthood,,moderate evidence,
breakup,accord,blatant,driver,obscurity,apparent,art,arsonist,advance,,most compatible,
brokenhearted,acknowledge,bleed,dumpling,pale,apply,articulate,arthritis,advanced,,much less likely,
brutal,acknowledgement,blemish,embroidery,panhandle,armor,artist,asbestos,adversary,,not seen,
bubonic,air,blight,evening,parliament,ascertain,artistic,ashamed,adversity,,no specific diagnosis,
bug,allow,blind,extra,pendulum,assure,artistry,ashtray,advertise,,no support for,
bullet,amiable,blindness,eyes,primate,attachment,artwork,asphyxia,advertisement,,non-diagnostic,
bullshit,antidote,blister,fair,puny,attain,arty,asphyxiation,advertising,,not compatible with,
bully,apple juice,bloat,farmland,reassignment,author,asleep,assailant,advice,,not consistent with,
burglar,applesauce,blockade,fellowship,redundant,autobiography,aspen,assassin,advisable,,not diagnostic,
burglary,appreciate,blockage,fern,rein,base,aspire,assassinate,advise,,not evident,
burn,asleep,bloodbath,float,residual,bathing,aspiring,assassination,advisement,,not likely,
bury,aunt,bloodshot,floral,sac,beanbag,asset,assault,adviser,,open diagnosis,
cancer,autumn,bloodthirsty,florist,sappy,blouse,astonished,asshole,advisor,,pathognomonic,
cannibal,banana,blues,freshwater,sheltered,bookmark,astonishing,asthma,advisory,,possibilities include,
cannibalism,bath,bog,giraffe,simpleton,broth,astronaut,asthmatic,advocate,,potential,
capitalism,bathe,bogey,goldfish,sleight,brush,astronomical,asylum,aerial,,rules out,
carjack,bay,bondsman,granddad,sloth,buckwheat,athletic,atrocious,aerobics,,should consider,
carnage,bed,booger,grandma,stalemate,calculate,attention,atrocity,aerodynamic,,slight evidence,
castrate,begin,boogeyman,grape juice,standby,casual,attentive,atrophy,aerospace,,slight possibility,
castration,beginning,bootleg,guardian,subordinate,celery,attract,attack,aesthetic,,some evidence,
casualty,belong,bored,halo,thyroid,certain,attraction,attacker,affect,,some possibility,
catastrophe,birch,bossy,hammock,tram,characterize,attractive,attorney,affidavit,,some indication,
